Glyph,Name ,Character(s) 
⇥,rarrb; ,U+021E5 
⤠,rarrbfs; ,U+02920 
⤳,rarrc; ,U+02933 
⤞,rarrfs; ,U+0291E 
↪,rarrhk; ,U+021AA 
↬,rarrlp; ,U+021AC 
⥅,rarrpl; ,U+02945 
⥴,rarrsim; ,U+02974 
⤖,Rarrtl; ,U+02916 
↣,rarrtl; ,U+021A3 
↝,rarrw; ,U+0219D 
⤜,rAtail; ,U+0291C 
⤚,ratail; ,U+0291A 
∶,ratio; ,U+02236 
ℚ,rationals; ,U+0211A 
⤐,RBarr; ,U+02910 
⤏,rBarr; ,U+0290F 
⤍,rbarr; ,U+0290D 
❳,rbbrk; ,U+02773 
},rbrace; ,U+0007D 
],rbrack; ,U+0005D 
⦌,rbrke; ,U+0298C 
⦎,rbrksld; ,U+0298E 
⦐,rbrkslu; ,U+02990 
Ř,Rcaron; ,U+00158 
ř,rcaron; ,U+00159 
Ŗ,Rcedil; ,U+00156 
ŗ,rcedil; ,U+00157 
⌉,rceil; ,U+02309 
},rcub; ,U+0007D 
Р,Rcy; ,U+00420 
р,rcy; ,U+00440 
⤷,rdca; ,U+02937 
⥩,rdldhar; ,U+02969 
”,rdquo; ,U+0201D 
”,rdquor; ,U+0201D 
↳,rdsh; ,U+021B3 
ℜ,Re; ,U+0211C 
ℜ,real; ,U+0211C 
ℛ,realine; ,U+0211B 
ℜ,realpart; ,U+0211C 
ℝ,reals; ,U+0211D 
▭,rect; ,U+025AD 
®,REG; ,U+000AE 
®,REG ,U+000AE 
®,reg; ,U+000AE 
®,reg ,U+000AE 
∋,ReverseElement; ,U+0220B 
⇋,ReverseEquilibrium; ,U+021CB 
⥯,ReverseUpEquilibrium; ,U+0296F 
⥽,rfisht; ,U+0297D 
⌋,rfloor; ,U+0230B 
ℜ,Rfr; ,U+0211C 
𝔯,rfr; ,U+1D52F 
⥤,rHar; ,U+02964 
⇁,rhard; ,U+021C1 
⇀,rharu; ,U+021C0 
⥬,rharul; ,U+0296C 
Ρ,Rho; ,U+003A1 
ρ,rho; ,U+003C1 
ϱ,rhov; ,U+003F1 
⟩,RightAngleBracket; ,U+027E9 
→,RightArrow; ,U+02192 
⇒,Rightarrow; ,U+021D2 
→,rightarrow; ,U+02192 
⇥,RightArrowBar; ,U+021E5 
⇄,RightArrowLeftArrow; ,U+021C4 
↣,rightarrowtail; ,U+021A3 
⌉,RightCeiling; ,U+02309 
⟧,RightDoubleBracket; ,U+027E7 
⥝,RightDownTeeVector; ,U+0295D 
⇂,RightDownVector; ,U+021C2 
⥕,RightDownVectorBar; ,U+02955 
⌋,RightFloor; ,U+0230B 
⇁,rightharpoondown; ,U+021C1 
⇀,rightharpoonup; ,U+021C0 
⇄,rightleftarrows; ,U+021C4 
⇌,rightleftharpoons; ,U+021CC 
⇉,rightrightarrows; ,U+021C9 
↝,rightsquigarrow; ,U+0219D 
⊢,RightTee; ,U+022A2 
↦,RightTeeArrow; ,U+021A6 
⥛,RightTeeVector; ,U+0295B 
⋌,rightthreetimes; ,U+022CC 
⊳,RightTriangle; ,U+022B3 
⧐,RightTriangleBar; ,U+029D0 
⊵,RightTriangleEqual; ,U+022B5 
⥏,RightUpDownVector; ,U+0294F 
⥜,RightUpTeeVector; ,U+0295C 
↾,RightUpVector; ,U+021BE 
⥔,RightUpVectorBar; ,U+02954 
⇀,RightVector; ,U+021C0 
⥓,RightVectorBar; ,U+02953 
˚,ring; ,U+002DA 
≓,risingdotseq; ,U+02253 
⇄,rlarr; ,U+021C4 
⇌,rlhar; ,U+021CC 
‏,rlm; ,U+0200F 
⎱,rmoust; ,U+023B1 
⎱,rmoustache; ,U+023B1 
⫮,rnmid; ,U+02AEE 
⟭,roang; ,U+027ED 
⇾,roarr; ,U+021FE 
⟧,robrk; ,U+027E7 
⦆,ropar; ,U+02986 
ℝ,Ropf; ,U+0211D 
𝕣,ropf; ,U+1D563 
⨮,roplus; ,U+02A2E 
⨵,rotimes; ,U+02A35 
⥰,RoundImplies; ,U+02970 
),rpar; ,U+00029 
⦔,rpargt; ,U+02994 
⨒,rppolint; ,U+02A12 
⇉,rrarr; ,U+021C9 
⇛,Rrightarrow; ,U+021DB 
›,rsaquo; ,U+0203A 
ℛ,Rscr; ,U+0211B 
𝓇,rscr; ,U+1D4C7 
↱,Rsh; ,U+021B1 
↱,rsh; ,U+021B1 
],rsqb; ,U+0005D 
’,rsquo; ,U+02019 
’,rsquor; ,U+02019 
⋌,rthree; ,U+022CC 
⋊,rtimes; ,U+022CA 
▹,rtri; ,U+025B9 
⊵,rtrie; ,U+022B5 
▸,rtrif; ,U+025B8 
⧎,rtriltri; ,U+029CE 
⧴,RuleDelayed; ,U+029F4 
⥨,ruluhar; ,U+02968 
℞,rx; ,U+0211E 
Ś,Sacute; ,U+0015A 
ś,sacute; ,U+0015B 
‚,sbquo; ,U+0201A 
⪼,Sc; ,U+02ABC 
≻,sc; ,U+0227B 
⪸,scap; ,U+02AB8 
Š,Scaron; ,U+00160 
š,scaron; ,U+00161 
≽,sccue; ,U+0227D 
⪴,scE; ,U+02AB4 
⪰,sce; ,U+02AB0 
Ş,Scedil; ,U+0015E 
ş,scedil; ,U+0015F 
Ŝ,Scirc; ,U+0015C 
ŝ,scirc; ,U+0015D 
⪺,scnap; ,U+02ABA 
⪶,scnE; ,U+02AB6 
⋩,scnsim; ,U+022E9 
⨓,scpolint; ,U+02A13 
≿,scsim; ,U+0227F 
С,Scy; ,U+00421 
с,scy; ,U+00441 
⋅,sdot; ,U+022C5 
⊡,sdotb; ,U+022A1 
⩦,sdote; ,U+02A66 
⤥,searhk; ,U+02925 
⇘,seArr; ,U+021D8 
↘,searr; ,U+02198 
↘,searrow; ,U+02198 
§,sect; ,U+000A7 
§,sect ,U+000A7 
;,semi; ,U+0003B 
⤩,seswar; ,U+02929 
∖,setminus; ,U+02216 
∖,setmn; ,U+02216 
✶,sext; ,U+02736 
𝔖,Sfr; ,U+1D516 
𝔰,sfr; ,U+1D530 
⌢,sfrown; ,U+02322 
♯,sharp; ,U+0266F 
Щ,SHCHcy; ,U+00429 
щ,shchcy; ,U+00449 
Ш,SHcy; ,U+00428 
ш,shcy; ,U+00448 
↓,ShortDownArrow; ,U+02193 
←,ShortLeftArrow; ,U+02190 
∣,shortmid; ,U+02223 
∥,shortparallel; ,U+02225 
→,ShortRightArrow; ,U+02192 
↑,ShortUpArrow; ,U+02191 
­,shy; ,U+000AD 
­,shy ,U+000AD 
Σ,Sigma; ,U+003A3 
σ,sigma; ,U+003C3 
ς,sigmaf; ,U+003C2 
ς,sigmav; ,U+003C2 
∼,sim; ,U+0223C 
⩪,simdot; ,U+02A6A 
≃,sime; ,U+02243 
≃,simeq; ,U+02243 
⪞,simg; ,U+02A9E 
⪠,simgE; ,U+02AA0 
⪝,siml; ,U+02A9D 
⪟,simlE; ,U+02A9F 
≆,simne; ,U+02246 
⨤,simplus; ,U+02A24 
⥲,simrarr; ,U+02972 
←,slarr; ,U+02190 
∘,SmallCircle; ,U+02218 
∖,smallsetminus; ,U+02216 
⨳,smashp; ,U+02A33 
⧤,smeparsl; ,U+029E4 
∣,smid; ,U+02223 
⌣,smile; ,U+02323 
⪪,smt; ,U+02AAA 
⪬,smte; ,U+02AAC 
⪬︀,smtes; ,U+02AAC U+0FE00 
Ь,SOFTcy; ,U+0042C 
ь,softcy; ,U+0044C 
/,sol; ,U+0002F 
⧄,solb; ,U+029C4 
⌿,solbar; ,U+0233F 
𝕊,Sopf; ,U+1D54A 
𝕤,sopf; ,U+1D564 
♠,spades; ,U+02660 
♠,spadesuit; ,U+02660 
∥,spar; ,U+02225 
⊓,sqcap; ,U+02293 
⊓︀,sqcaps; ,U+02293 U+0FE00 
⊔,sqcup; ,U+02294 
⊔︀,sqcups; ,U+02294 U+0FE00 
√,Sqrt; ,U+0221A 
⊏,sqsub; ,U+0228F 
⊑,sqsube; ,U+02291 
⊏,sqsubset; ,U+0228F 
⊑,sqsubseteq; ,U+02291 
⊐,sqsup; ,U+02290 
⊒,sqsupe; ,U+02292 
⊐,sqsupset; ,U+02290 
⊒,sqsupseteq; ,U+02292 
□,squ; ,U+025A1 
□,Square; ,U+025A1 
□,square; ,U+025A1 
⊓,SquareIntersection; ,U+02293 
⊏,SquareSubset; ,U+0228F 
⊑,SquareSubsetEqual; ,U+02291 
⊐,SquareSuperset; ,U+02290 
⊒,SquareSupersetEqual; ,U+02292 
⊔,SquareUnion; ,U+02294 
▪,squarf; ,U+025AA 
▪,squf; ,U+025AA 
→,srarr; ,U+02192 
𝒮,Sscr; ,U+1D4AE 
𝓈,sscr; ,U+1D4C8 
∖,ssetmn; ,U+02216 
⌣,ssmile; ,U+02323 
⋆,sstarf; ,U+022C6 
⋆,Star; ,U+022C6 
☆,star; ,U+02606 
★,starf; ,U+02605 
ϵ,straightepsilon; ,U+003F5 
ϕ,straightphi; ,U+003D5 
¯,strns; ,U+000AF 
⋐,Sub; ,U+022D0 
⊂,sub; ,U+02282 
⪽,subdot; ,U+02ABD 
⫅,subE; ,U+02AC5 
⊆,sube; ,U+02286 
⫃,subedot; ,U+02AC3 
⫁,submult; ,U+02AC1 
⫋,subnE; ,U+02ACB 
⊊,subne; ,U+0228A 
⪿,subplus; ,U+02ABF 
⥹,subrarr; ,U+02979 
⋐,Subset; ,U+022D0 
⊂,subset; ,U+02282 
⊆,subseteq; ,U+02286 
⫅,subseteqq; ,U+02AC5 
⊆,SubsetEqual; ,U+02286 
⊊,subsetneq; ,U+0228A 
⫋,subsetneqq; ,U+02ACB 
⫇,subsim; ,U+02AC7 
⫕,subsub; ,U+02AD5 
⫓,subsup; ,U+02AD3 
≻,succ; ,U+0227B 
⪸,succapprox; ,U+02AB8 
≽,succcurlyeq; ,U+0227D 
≻,Succeeds; ,U+0227B 
⪰,SucceedsEqual; ,U+02AB0 
≽,SucceedsSlantEqual; ,U+0227D 
≿,SucceedsTilde; ,U+0227F 
⪰,succeq; ,U+02AB0 
⪺,succnapprox; ,U+02ABA 
⪶,succneqq; ,U+02AB6 
⋩,succnsim; ,U+022E9 
≿,succsim; ,U+0227F 
∋,SuchThat; ,U+0220B 
∑,Sum; ,U+02211 
∑,sum; ,U+02211 
♪,sung; ,U+0266A 
⋑,Sup; ,U+022D1 
⊃,sup; ,U+02283 
¹,sup1; ,U+000B9 
¹,sup1 ,U+000B9 
²,sup2; ,U+000B2 
²,sup2 ,U+000B2 
³,sup3; ,U+000B3 
³,sup3 ,U+000B3 
⪾,supdot; ,U+02ABE 
⫘,supdsub; ,U+02AD8 
⫆,supE; ,U+02AC6 
⊇,supe; ,U+02287 
⫄,supedot; ,U+02AC4 
⊃,Superset; ,U+02283 
⊇,SupersetEqual; ,U+02287 
⟉,suphsol; ,U+027C9 
⫗,suphsub; ,U+02AD7 
⥻,suplarr; ,U+0297B 
⫂,supmult; ,U+02AC2 
⫌,supnE; ,U+02ACC 
⊋,supne; ,U+0228B 
⫀,supplus; ,U+02AC0 
⋑,Supset; ,U+022D1 
⊃,supset; ,U+02283 
⊇,supseteq; ,U+02287 
⫆,supseteqq; ,U+02AC6 
⊋,supsetneq; ,U+0228B 
⫌,supsetneqq; ,U+02ACC 
⫈,supsim; ,U+02AC8 
⫔,supsub; ,U+02AD4 
⫖,supsup; ,U+02AD6 
⤦,swarhk; ,U+02926 
⇙,swArr; ,U+021D9 
↙,swarr; ,U+02199 
↙,swarrow; ,U+02199 
⤪,swnwar; ,U+0292A 
ß,szlig; ,U+000DF 
ß,szlig ,U+000DF 
␉,Tab; ,U+00009 
⌖,target; ,U+02316 
Τ,Tau; ,U+003A4 
τ,tau; ,U+003C4 
⎴,tbrk; ,U+023B4 
Ť,Tcaron; ,U+00164 
ť,tcaron; ,U+00165 
Ţ,Tcedil; ,U+00162 
ţ,tcedil; ,U+00163 
Т,Tcy; ,U+00422 
т,tcy; ,U+00442 
◌⃛,tdot; ,U+020DB 
⌕,telrec; ,U+02315 
𝔗,Tfr; ,U+1D517 
𝔱,tfr; ,U+1D531 
∴,there4; ,U+02234 
∴,Therefore; ,U+02234 
∴,therefore; ,U+02234 
Θ,Theta; ,U+00398 
θ,theta; ,U+003B8 
ϑ,thetasym; ,U+003D1 
ϑ,thetav; ,U+003D1 
≈,thickapprox; ,U+02248 
∼,thicksim; ,U+0223C 
  ,ThickSpace; ,U+0205F U+0200A 
 ,thinsp; ,U+02009 
 ,ThinSpace; ,U+02009 
≈,thkap; ,U+02248 
∼,thksim; ,U+0223C 
Þ,THORN; ,U+000DE 
Þ,THORN ,U+000DE 
þ,thorn; ,U+000FE 
þ,thorn ,U+000FE 
∼,Tilde; ,U+0223C 
˜,tilde; ,U+002DC 
≃,TildeEqual; ,U+02243 
≅,TildeFullEqual; ,U+02245 
≈,TildeTilde; ,U+02248 
×,times; ,U+000D7 
×,times ,U+000D7 
⊠,timesb; ,U+022A0 
⨱,timesbar; ,U+02A31 
⨰,timesd; ,U+02A30 
∭,tint; ,U+0222D 
⤨,toea; ,U+02928 
⊤,top; ,U+022A4 
⌶,topbot; ,U+02336 
⫱,topcir; ,U+02AF1 
𝕋,Topf; ,U+1D54B 
𝕥,topf; ,U+1D565 
⫚,topfork; ,U+02ADA 
⤩,tosa; ,U+02929 
‴,tprime; ,U+02034 
™,TRADE; ,U+02122 
™,trade; ,U+02122 
▵,triangle; ,U+025B5 
▿,triangledown; ,U+025BF 
◃,triangleleft; ,U+025C3 
⊴,trianglelefteq; ,U+022B4 
≜,triangleq; ,U+0225C 
▹,triangleright; ,U+025B9 
⊵,trianglerighteq; ,U+022B5 
◬,tridot; ,U+025EC 
≜,trie; ,U+0225C 
⨺,triminus; ,U+02A3A 
◌⃛,TripleDot; ,U+020DB 
⨹,triplus; ,U+02A39 
⧍,trisb; ,U+029CD 
⨻,tritime; ,U+02A3B 
⏢,trpezium; ,U+023E2 
𝒯,Tscr; ,U+1D4AF 
𝓉,tscr; ,U+1D4C9 
Ц,TScy; ,U+00426 
ц,tscy; ,U+00446 
Ћ,TSHcy; ,U+0040B 
ћ,tshcy; ,U+0045B 
Ŧ,Tstrok; ,U+00166 
ŧ,tstrok; ,U+00167 
≬,twixt; ,U+0226C 
↞,twoheadleftarrow; ,U+0219E 
↠,twoheadrightarrow; ,U+021A0 
Ú,Uacute; ,U+000DA 
Ú,Uacute ,U+000DA 
ú,uacute; ,U+000FA 
ú,uacute ,U+000FA 
↟,Uarr; ,U+0219F 
⇑,uArr; ,U+021D1 
↑,uarr; ,U+02191 
⥉,Uarrocir; ,U+02949 
Ў,Ubrcy; ,U+0040E 
ў,ubrcy; ,U+0045E 
Ŭ,Ubreve; ,U+0016C 
ŭ,ubreve; ,U+0016D 
Û,Ucirc; ,U+000DB 
Û,Ucirc ,U+000DB 
û,ucirc; ,U+000FB 
û,ucirc ,U+000FB 
У,Ucy; ,U+00423 
у,ucy; ,U+00443 
⇅,udarr; ,U+021C5 
Ű,Udblac; ,U+00170 
ű,udblac; ,U+00171 
⥮,udhar; ,U+0296E 
⥾,ufisht; ,U+0297E 
𝔘,Ufr; ,U+1D518 
𝔲,ufr; ,U+1D532 
Ù,Ugrave; ,U+000D9 
Ù,Ugrave ,U+000D9 
ù,ugrave; ,U+000F9 
ù,ugrave ,U+000F9 
⥣,uHar; ,U+02963 
↿,uharl; ,U+021BF 
↾,uharr; ,U+021BE 
▀,uhblk; ,U+02580 
⌜,ulcorn; ,U+0231C 
⌜,ulcorner; ,U+0231C 
⌏,ulcrop; ,U+0230F 
◸,ultri; ,U+025F8 
Ū,Umacr; ,U+0016A 
ū,umacr; ,U+0016B 
¨,uml; ,U+000A8 
¨,uml ,U+000A8 
_,UnderBar; ,U+0005F 
⏟,UnderBrace; ,U+023DF 
⎵,UnderBracket; ,U+023B5 
⏝,UnderParenthesis; ,U+023DD 
⋃,Union; ,U+022C3 
⊎,UnionPlus; ,U+0228E 
Ų,Uogon; ,U+00172 
ų,uogon; ,U+00173 
𝕌,Uopf; ,U+1D54C 
𝕦,uopf; ,U+1D566 
↑,UpArrow; ,U+02191 
⇑,Uparrow; ,U+021D1 
↑,uparrow; ,U+02191 
⤒,UpArrowBar; ,U+02912 
⇅,UpArrowDownArrow; ,U+021C5 
↕,UpDownArrow; ,U+02195 
⇕,Updownarrow; ,U+021D5 
↕,updownarrow; ,U+02195 
⥮,UpEquilibrium; ,U+0296E 
↿,upharpoonleft; ,U+021BF 
↾,upharpoonright; ,U+021BE 
⊎,uplus; ,U+0228E 
↖,UpperLeftArrow; ,U+02196 
↗,UpperRightArrow; ,U+02197 
ϒ,Upsi; ,U+003D2 
υ,upsi; ,U+003C5 
ϒ,upsih; ,U+003D2 
Υ,Upsilon; ,U+003A5 
υ,upsilon; ,U+003C5 
⊥,UpTee; ,U+022A5 
↥,UpTeeArrow; ,U+021A5 
⇈,upuparrows; ,U+021C8 
⌝,urcorn; ,U+0231D 
⌝,urcorner; ,U+0231D 
⌎,urcrop; ,U+0230E 
Ů,Uring; ,U+0016E 
ů,uring; ,U+0016F 
◹,urtri; ,U+025F9 
𝒰,Uscr; ,U+1D4B0 
𝓊,uscr; ,U+1D4CA 
⋰,utdot; ,U+022F0 
Ũ,Utilde; ,U+00168 
ũ,utilde; ,U+00169 
▵,utri; ,U+025B5 
▴,utrif; ,U+025B4 
⇈,uuarr; ,U+021C8 
Ü,Uuml; ,U+000DC 
Ü,Uuml ,U+000DC 
ü,uuml; ,U+000FC 
ü,uuml ,U+000FC 
⦧,uwangle; ,U+029A7 
⦜,vangrt; ,U+0299C 
ϵ,varepsilon; ,U+003F5 
ϰ,varkappa; ,U+003F0 
∅,varnothing; ,U+02205 
ϕ,varphi; ,U+003D5 
ϖ,varpi; ,U+003D6 
∝,varpropto; ,U+0221D 
⇕,vArr; ,U+021D5 
↕,varr; ,U+02195 
ϱ,varrho; ,U+003F1 
ς,varsigma; ,U+003C2 
⊊︀,varsubsetneq; ,U+0228A U+0FE00 
⫋︀,varsubsetneqq; ,U+02ACB U+0FE00 
⊋︀,varsupsetneq; ,U+0228B U+0FE00 
⫌︀,varsupsetneqq; ,U+02ACC U+0FE00 
ϑ,vartheta; ,U+003D1 
⊲,vartriangleleft; ,U+022B2 
⊳,vartriangleright; ,U+022B3 
⫫,Vbar; ,U+02AEB 
⫨,vBar; ,U+02AE8 
⫩,vBarv; ,U+02AE9 
В,Vcy; ,U+00412 
в,vcy; ,U+00432 
⊫,VDash; ,U+022AB 
⊩,Vdash; ,U+022A9 
⊨,vDash; ,U+022A8 
⊢,vdash; ,U+022A2 
⫦,Vdashl; ,U+02AE6 
⋁,Vee; ,U+022C1 
∨,vee; ,U+02228 
⊻,veebar; ,U+022BB 
≚,veeeq; ,U+0225A 
⋮,vellip; ,U+022EE 
‖,Verbar; ,U+02016 
|,verbar; ,U+0007C 
‖,Vert; ,U+02016 
|,vert; ,U+0007C 
∣,VerticalBar; ,U+02223 
|,VerticalLine; ,U+0007C 
❘,VerticalSeparator; ,U+02758 
≀,VerticalTilde; ,U+02240 
 ,VeryThinSpace; ,U+0200A 
𝔙,Vfr; ,U+1D519 
𝔳,vfr; ,U+1D533 
⊲,vltri; ,U+022B2 
⊂⃒,vnsub; ,U+02282 U+020D2 
⊃⃒,vnsup; ,U+02283 U+020D2 
𝕍,Vopf; ,U+1D54D 
𝕧,vopf; ,U+1D567 
∝,vprop; ,U+0221D 
⊳,vrtri; ,U+022B3 
𝒱,Vscr; ,U+1D4B1 
𝓋,vscr; ,U+1D4CB 
⫋︀,vsubnE; ,U+02ACB U+0FE00 
⊊︀,vsubne; ,U+0228A U+0FE00 
⫌︀,vsupnE; ,U+02ACC U+0FE00 
⊋︀,vsupne; ,U+0228B U+0FE00 
⊪,Vvdash; ,U+022AA 
⦚,vzigzag; ,U+0299A 
Ŵ,Wcirc; ,U+00174 
ŵ,wcirc; ,U+00175 
⩟,wedbar; ,U+02A5F 
⋀,Wedge; ,U+022C0 
∧,wedge; ,U+02227 
≙,wedgeq; ,U+02259 
℘,weierp; ,U+02118 
𝔚,Wfr; ,U+1D51A 
𝔴,wfr; ,U+1D534 
𝕎,Wopf; ,U+1D54E 
𝕨,wopf; ,U+1D568 
℘,wp; ,U+02118 
≀,wr; ,U+02240 
≀,wreath; ,U+02240 
𝒲,Wscr; ,U+1D4B2 
𝓌,wscr; ,U+1D4CC 
⋂,xcap; ,U+022C2 
◯,xcirc; ,U+025EF 
⋃,xcup; ,U+022C3 
▽,xdtri; ,U+025BD 
𝔛,Xfr; ,U+1D51B 
𝔵,xfr; ,U+1D535 
⟺,xhArr; ,U+027FA 
⟷,xharr; ,U+027F7 
Ξ,Xi; ,U+0039E 
ξ,xi; ,U+003BE 
⟸,xlArr; ,U+027F8 
⟵,xlarr; ,U+027F5 
⟼,xmap; ,U+027FC 
⋻,xnis; ,U+022FB 
⨀,xodot; ,U+02A00 
𝕏,Xopf; ,U+1D54F 
𝕩,xopf; ,U+1D569 
⨁,xoplus; ,U+02A01 
⨂,xotime; ,U+02A02 
⟹,xrArr; ,U+027F9 
⟶,xrarr; ,U+027F6 
𝒳,Xscr; ,U+1D4B3 
𝓍,xscr; ,U+1D4CD 
⨆,xsqcup; ,U+02A06 
⨄,xuplus; ,U+02A04 
△,xutri; ,U+025B3 
⋁,xvee; ,U+022C1 
⋀,xwedge; ,U+022C0 
Ý,Yacute; ,U+000DD 
Ý,Yacute ,U+000DD 
ý,yacute; ,U+000FD 
ý,yacute ,U+000FD 
Я,YAcy; ,U+0042F 
я,yacy; ,U+0044F 
Ŷ,Ycirc; ,U+00176 
ŷ,ycirc; ,U+00177 
Ы,Ycy; ,U+0042B 
ы,ycy; ,U+0044B 
¥,yen; ,U+000A5 
¥,yen ,U+000A5 
𝔜,Yfr; ,U+1D51C 
𝔶,yfr; ,U+1D536 
Ї,YIcy; ,U+00407 
ї,yicy; ,U+00457 
𝕐,Yopf; ,U+1D550 
𝕪,yopf; ,U+1D56A 
𝒴,Yscr; ,U+1D4B4 
𝓎,yscr; ,U+1D4CE 
Ю,YUcy; ,U+0042E 
ю,yucy; ,U+0044E 
Ÿ,Yuml; ,U+00178 
ÿ,yuml; ,U+000FF 
ÿ,yuml ,U+000FF 
Ź,Zacute; ,U+00179 
ź,zacute; ,U+0017A 
Ž,Zcaron; ,U+0017D 
ž,zcaron; ,U+0017E 
З,Zcy; ,U+00417 
з,zcy; ,U+00437 
Ż,Zdot; ,U+0017B 
ż,zdot; ,U+0017C 
ℨ,zeetrf; ,U+02128 
​,ZeroWidthSpace; ,U+0200B 
Ζ,Zeta; ,U+00396 
ζ,zeta; ,U+003B6 
ℨ,Zfr; ,U+02128 
𝔷,zfr; ,U+1D537 
Ж,ZHcy; ,U+00416 
ж,zhcy; ,U+00436 
⇝,zigrarr; ,U+021DD 
ℤ,Zopf; ,U+02124 
𝕫,zopf; ,U+1D56B 
𝒵,Zscr; ,U+1D4B5 
𝓏,zscr; ,U+1D4CF 
‍,zwj; ,U+0200D 
‌,zwnj; ,U+0200C 
